Sample	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	SD_READ_LENGTH	MEDIAN_READ_LENGTH	MAD_READ_LENGTH	MIN_READ_LENGTH	MAX_READ_LENGTH	MEAN_ALIGNED_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	PCT_SOFTCLIP	PCT_HARDCLIP	AVG_POS_3PRIME_SOFTCLIP_LENGTH	SAMPLE	LIBRARY	READ_GROUP
FR044	UNPAIRED	76964620.0	76964620.0	1.0	0.0	76964620.0	1.0	16175014195.0	76964620.0	16175014195.0	15946731631.0	1.0	0.010828	0.010828	0.000972	219.300899	43.253913	223.0	31.0	30.0	291.0	210.478192	0.0	0.0	0.0	0.0	0.0	0.500066	0.022699	0.0	0.040231	0.0	70.837414	FR044_SAMPLE		
FR046	UNPAIRED	76786873.0	76786873.0	1.0	0.0	76786873.0	1.0	15808643267.0	76786873.0	15808643267.0	15622465416.0	1.0	0.010954	0.010954	0.000987	215.548197	42.732372	218.0	31.0	30.0	291.0	206.193132	0.0	0.0	0.0	0.0	0.0	0.499991	0.024793	0.0	0.043401	0.0	69.330183	FR046_SAMPLE		
FR048	UNPAIRED	81765371.0	81765371.0	1.0	0.0	81765371.0	1.0	16830192108.0	81765371.0	16830192108.0	16619872132.0	1.0	0.010646	0.010646	0.000962	214.484387	42.84766	217.0	31.0	30.0	291.0	206.141772	0.0	0.0	0.0	0.0	0.0	0.499845	0.021511	0.0	0.038896	0.0	69.073516	FR048_SAMPLE		
FR049	UNPAIRED	67961066.0	67961066.0	1.0	0.0	67961066.0	1.0	14144418579.0	67961066.0	14144418579.0	13968180181.0	1.0	0.011501	0.011501	0.001011	218.79595	42.496255	222.0	31.0	30.0	291.0	208.453209	0.0	0.0	0.0	0.0	0.0	0.500034	0.0287	0.0	0.047271	0.0	69.862634	FR049_SAMPLE		
FR050	UNPAIRED	72663092.0	72663092.0	1.0	0.0	72663092.0	1.0	14670156533.0	72663092.0	14670156533.0	14526426441.0	1.0	0.010535	0.010535	0.000961	210.500488	43.142141	212.0	32.0	30.0	291.0	202.192288	0.0	0.0	0.0	0.0	0.0	0.499854	0.021862	0.0	0.039469	0.0	67.636796	FR050_SAMPLE		
FR051	UNPAIRED	52335676.0	52335676.0	1.0	0.0	52335676.0	1.0	10854054708.0	52335676.0	10854054708.0	10724692163.0	1.0	0.010906	0.010906	0.000973	216.945919	42.590003	220.0	31.0	30.0	291.0	207.708279	0.0	0.0	0.0	0.0	0.0	0.499871	0.024068	0.0	0.04258	0.0	69.977554	FR051_SAMPLE		
FR061	UNPAIRED	54676471.0	54676471.0	1.0	0.0	54676471.0	1.0	11403536796.0	54676471.0	11403536796.0	11272102473.0	1.0	0.010503	0.010503	0.000965	217.46088	42.88098	221.0	31.0	30.0	291.0	208.875867	0.0	0.0	0.0	0.0	0.0	0.499968	0.022393	0.0	0.039478	0.0	70.107929	FR061_SAMPLE		
FR063	UNPAIRED	78236150.0	78236150.0	1.0	0.0	78236150.0	1.0	16020933176.0	78236150.0	16020933176.0	15834624499.0	1.0	0.0103	0.0103	0.000953	213.348574	42.570613	215.0	31.0	30.0	291.0	205.080524	0.0	0.0	0.0	0.0	0.0	0.499962	0.021061	0.0	0.038754	0.0	69.076054	FR063_SAMPLE		
FR064	UNPAIRED	60043420.0	60043420.0	1.0	0.0	60043420.0	1.0	12646236654.0	60043420.0	12646236654.0	12480188846.0	1.0	0.01074	0.01074	0.000969	219.823162	42.775552	224.0	31.0	30.0	291.0	210.93435	0.0	0.0	0.0	0.0	0.0	0.500095	0.022933	0.0	0.040436	0.0	71.045364	FR064_SAMPLE		
Guglionesi_336	UNPAIRED	3185580.0	3185580.0	1.0	0.0	3185580.0	1.0	370677899.0	3185580.0	370677899.0	354604527.0	1.0	0.012408	0.012408	0.000983	142.673718	41.547436	153.0	32.0	30.0	189.0	116.490466	0.0	0.0	0.0	0.0	0.0	0.500062	0.247854	0.0	0.183518	0.0	68.831947	Guglionesi_336_SAMPLE		
Guglionesi_426	UNPAIRED	2460766.0	2460766.0	1.0	0.0	2460766.0	1.0	255521867.0	2460766.0	255521867.0	241925755.0	1.0	0.012553	0.012553	0.001069	141.760895	45.6321	158.0	30.0	30.0	189.0	103.943803	0.0	0.0	0.0	0.0	0.0	0.500395	0.371316	0.0	0.266767	0.0	73.093593	Guglionesi_426_SAMPLE		
Guglionesi_427	UNPAIRED	2107590.0	2107590.0	1.0	0.0	2107590.0	1.0	206373393.0	2107590.0	206373393.0	193196421.0	1.0	0.013994	0.013994	0.000878	135.831582	48.166193	145.0	43.0	30.0	189.0	98.018867	0.0	0.0	0.0	0.0	0.0	0.500422	0.37322	0.0	0.278379	0.0	71.889457	Guglionesi_427_SAMPLE		
Guglionesi_428	UNPAIRED	1868639.0	1868639.0	1.0	0.0	1868639.0	1.0	191692000.0	1868639.0	191692000.0	180482884.0	1.0	0.013505	0.013505	0.001451	142.3678	47.12398	169.0	20.0	30.0	189.0	102.684462	0.0	0.0	0.0	0.0	0.0	0.500444	0.387356	0.0	0.278738	0.0	73.338071	Guglionesi_428_SAMPLE		
Guglionesi_429	UNPAIRED	2155347.0	2155347.0	1.0	0.0	2155347.0	1.0	261492441.0	2155347.0	261492441.0	248778184.0	1.0	0.012493	0.012493	0.002414	148.774814	43.844648	174.0	14.0	30.0	189.0	121.459396	0.0	0.0	0.0	0.0	0.0	0.500389	0.245297	0.0	0.183602	0.0	68.142241	Guglionesi_429_SAMPLE		
Guglionesi_431	UNPAIRED	6092366.0	6092366.0	1.0	0.0	6092366.0	1.0	860880641.0	6092366.0	860880641.0	839834701.0	1.0	0.010606	0.010606	0.001456	153.000094	32.280546	162.0	21.0	30.0	189.0	141.476773	0.0	0.0	0.0	0.0	0.0	0.500207	0.084848	0.0	0.075316	0.0	60.650737	Guglionesi_431_SAMPLE		
Guglionesi_432	UNPAIRED	2247390.0	2247390.0	1.0	0.0	2247390.0	1.0	260889579.0	2247390.0	260889579.0	248643710.0	1.0	0.012301	0.012301	0.001602	146.232216	43.58029	167.0	21.0	30.0	189.0	116.215063	0.0	0.0	0.0	0.0	0.0	0.499851	0.280015	0.0	0.20527	0.0	69.607584	Guglionesi_432_SAMPLE		
Guglionesi_433	UNPAIRED	5416439.0	5416439.0	1.0	0.0	5416439.0	1.0	740177679.0	5416439.0	740177679.0	719182234.0	1.0	0.011134	0.011134	0.001311	150.857938	33.923342	160.0	23.0	30.0	189.0	136.816616	0.0	0.0	0.0	0.0	0.0	0.499879	0.11355	0.0	0.093076	0.0	64.10494	Guglionesi_433_SAMPLE		
Guglionesi_434	UNPAIRED	2189413.0	2189413.0	1.0	0.0	2189413.0	1.0	260498705.0	2189413.0	260498705.0	252880394.0	1.0	0.012377	0.012377	0.001714	154.524061	37.581736	174.0	14.0	30.0	189.0	119.116289	0.0	0.0	0.0	0.0	0.0	0.499729	0.334863	0.0	0.229141	0.0	68.41525	Guglionesi_434_SAMPLE		
Guglionesi_435	UNPAIRED	2172646.0	2172646.0	1.0	0.0	2172646.0	1.0	219297921.0	2172646.0	219297921.0	205963027.0	1.0	0.013558	0.013558	0.001105	141.103867	46.500962	160.0	28.0	30.0	189.0	101.038842	0.0	0.0	0.0	0.0	0.0	0.500251	0.392455	0.0	0.28394	0.0	72.348508	Guglionesi_435_SAMPLE		
KAZ14001	UNPAIRED	11107296.0	11107296.0	1.0	0.0	11107296.0	1.0	1534535625.0	11107296.0	1534535625.0	1490083075.0	1.0	0.010896	0.010896	0.00112	149.529164	34.475964	159.0	22.0	30.0	189.0	138.326099	0.0	0.0	0.0	0.0	0.0	0.500069	0.0855	0.0	0.074922	0.0	61.689438	KAZ14001_SAMPLE		
KAZ14003	UNPAIRED	6548861.0	6548861.0	1.0	0.0	6548861.0	1.0	913064353.0	6548861.0	913064353.0	885150521.0	1.0	0.011916	0.011916	0.001132	151.527286	34.411425	163.0	19.0	30.0	189.0	139.606889	0.0	0.0	0.0	0.0	0.0	0.50033	0.085136	0.0	0.078668	0.0	57.803364	KAZ14003_SAMPLE		
KAZ14032	UNPAIRED	6763646.0	6763646.0	1.0	0.0	6763646.0	1.0	942595130.0	6763646.0	942595130.0	918082868.0	1.0	0.011249	0.011249	0.001151	151.881022	33.801864	162.0	21.0	30.0	189.0	139.538924	0.0	0.0	0.0	0.0	0.0	0.500068	0.093332	0.0	0.081262	0.0	61.31098	KAZ14032_SAMPLE		
KAZ14035	UNPAIRED	8946757.0	8946757.0	1.0	0.0	8946757.0	1.0	1243203917.0	8946757.0	1243203917.0	1212496830.0	1.0	0.011042	0.011042	0.001122	150.489439	33.322715	159.0	22.0	30.0	189.0	139.130857	0.0	0.0	0.0	0.0	0.0	0.499889	0.084808	0.0	0.075478	0.0	60.765781	KAZ14035_SAMPLE		
KAZ14053	UNPAIRED	6662312.0	6662312.0	1.0	0.0	6662312.0	1.0	927304739.0	6662312.0	927304739.0	904297457.0	1.0	0.010945	0.010945	0.001143	151.735791	33.570058	161.0	21.0	30.0	189.0	139.3598	0.0	0.0	0.0	0.0	0.0	0.500067	0.096985	0.0	0.081563	0.0	62.707521	KAZ14053_SAMPLE		
KAZ14054	UNPAIRED	7459668.0	7459668.0	1.0	0.0	7459668.0	1.0	1028226151.0	7459668.0	1028226151.0	1002343158.0	1.0	0.011081	0.011081	0.001109	150.151	33.939338	159.0	22.0	30.0	189.0	138.009442	0.0	0.0	0.0	0.0	0.0	0.500286	0.093632	0.0	0.080862	0.0	62.096751	KAZ14054_SAMPLE		
KAZ14055	UNPAIRED	7223387.0	7223387.0	1.0	0.0	7223387.0	1.0	995663554.0	7223387.0	995663554.0	969506824.0	1.0	0.010964	0.010964	0.001133	150.326371	34.31084	160.0	22.0	30.0	189.0	138.010958	0.0	0.0	0.0	0.0	0.0	0.500156	0.096876	0.0	0.081924	0.0	62.893948	KAZ14055_SAMPLE		
KAZ14057	UNPAIRED	6112981.0	6112981.0	1.0	0.0	6112981.0	1.0	841293763.0	6112981.0	841293763.0	818276264.0	1.0	0.011079	0.011079	0.001141	150.57979	34.913161	161.0	22.0	30.0	189.0	137.796084	0.0	0.0	0.0	0.0	0.0	0.500318	0.100305	0.0	0.084897	0.0	63.140593	KAZ14057_SAMPLE		
KAZ14059	UNPAIRED	6589796.0	6589796.0	1.0	0.0	6589796.0	1.0	911115491.0	6589796.0	911115491.0	887200049.0	1.0	0.011303	0.011303	0.001138	150.944236	33.987077	161.0	21.0	30.0	189.0	138.436747	0.0	0.0	0.0	0.0	0.0	0.500176	0.095295	0.0	0.082862	0.0	61.599961	KAZ14059_SAMPLE		
KAZ14061	UNPAIRED	7461036.0	7461036.0	1.0	0.0	7461036.0	1.0	1039132277.0	7461036.0	1039132277.0	1013284458.0	1.0	0.011068	0.011068	0.00113	151.010531	33.409238	160.0	22.0	30.0	189.0	139.448817	0.0	0.0	0.0	0.0	0.0	0.500809	0.085743	0.0	0.076562	0.0	61.190064	KAZ14061_SAMPLE		
Lesina_280	UNPAIRED	2758691.0	2758691.0	1.0	0.0	2758691.0	1.0	309833192.0	2758691.0	309833192.0	298066979.0	1.0	0.013497	0.013497	0.00132	149.153894	40.172287	165.0	23.0	30.0	189.0	112.443248	0.0	0.0	0.0	0.0	0.0	0.499835	0.349429	0.0	0.246126	0.0	70.577695	Lesina_280_SAMPLE		
Lesina_281	UNPAIRED	2523575.0	2523575.0	1.0	0.0	2523575.0	1.0	278846011.0	2523575.0	278846011.0	267702654.0	1.0	0.013891	0.013891	0.001051	145.985137	40.747286	158.0	29.0	30.0	189.0	110.62376	0.0	0.0	0.0	0.0	0.0	0.50019	0.338228	0.0	0.242226	0.0	67.003274	Lesina_281_SAMPLE		
Lesina_282	UNPAIRED	3723051.0	3723051.0	1.0	0.0	3723051.0	1.0	472310010.0	3723051.0	472310010.0	463260561.0	1.0	0.011863	0.011863	0.001138	149.769143	33.138585	155.0	28.0	30.0	189.0	127.016265	0.0	0.0	0.0	0.0	0.0	0.500252	0.204431	0.0	0.15192	0.0	67.448341	Lesina_282_SAMPLE		
Lesina_285	UNPAIRED	2012789.0	2012789.0	1.0	0.0	2012789.0	1.0	203750996.0	2012789.0	203750996.0	191715352.0	1.0	0.015385	0.015385	0.000959	140.491304	46.439986	156.0	32.0	30.0	189.0	101.341649	0.0	0.0	0.0	0.0	0.0	0.500094	0.37863	0.0	0.278662	0.0	70.573888	Lesina_285_SAMPLE		
Lesina_286	UNPAIRED	3152040.0	3152040.0	1.0	0.0	3152040.0	1.0	380186445.0	3152040.0	380186445.0	366378310.0	1.0	0.012302	0.012302	0.001068	148.483402	38.953806	161.0	25.0	30.0	189.0	120.759553	0.0	0.0	0.0	0.0	0.0	0.499976	0.257164	0.0	0.186713	0.0	69.558762	Lesina_286_SAMPLE		
Lesina_287	UNPAIRED	4261619.0	4261619.0	1.0	0.0	4261619.0	1.0	582090144.0	4261619.0	582090144.0	565599520.0	1.0	0.011091	0.011091	0.00156	153.140959	34.534049	164.0	21.0	30.0	189.0	136.755025	0.0	0.0	0.0	0.0	0.0	0.500216	0.134264	0.0	0.106999	0.0	65.152335	Lesina_287_SAMPLE		
Lesina_288	UNPAIRED	2921966.0	2921966.0	1.0	0.0	2921966.0	1.0	354593638.0	2921966.0	354593638.0	339564485.0	1.0	0.012263	0.012263	0.001301	147.112129	41.225158	163.0	24.0	30.0	189.0	121.496588	0.0	0.0	0.0	0.0	0.0	0.500048	0.234271	0.0	0.174123	0.0	69.927723	Lesina_288_SAMPLE		
Lesina_289	UNPAIRED	2792563.0	2792563.0	1.0	0.0	2792563.0	1.0	328207935.0	2792563.0	328207935.0	313864959.0	1.0	0.012836	0.012836	0.001133	146.153833	41.69441	161.0	26.0	30.0	189.0	117.666335	0.0	0.0	0.0	0.0	0.0	0.500455	0.264398	0.0	0.194914	0.0	69.020738	Lesina_289_SAMPLE		
Lesina_292	UNPAIRED	3490456.0	3490456.0	1.0	0.0	3490456.0	1.0	419304876.0	3490456.0	419304876.0	403248405.0	1.0	0.012395	0.012395	0.001179	145.793993	39.631499	157.0	28.0	30.0	189.0	120.270419	0.0	0.0	0.0	0.0	0.0	0.499991	0.232881	0.0	0.175066	0.0	68.791801	Lesina_292_SAMPLE		
Lesina_295	UNPAIRED	1709190.0	1709190.0	1.0	0.0	1709190.0	1.0	179018810.0	1709190.0	179018810.0	171823385.0	1.0	0.015308	0.015308	0.001339	152.582143	40.245466	177.0	12.0	30.0	189.0	104.864426	0.0	0.0	0.0	0.0	0.0	0.500632	0.456362	0.0	0.312735	0.0	70.726823	Lesina_295_SAMPLE		
PD22NLD0146F	UNPAIRED	5657825.0	5657825.0	1.0	0.0	5657825.0	1.0	1344870031.0	5657825.0	1344870031.0	1326124160.0	2.0	0.011893	0.011893	0.001171	253.562781	31.289773	261.0	19.0	30.0	289.0	238.093954	0.0	0.0	0.0	0.0	0.0	0.500084	0.056117	0.0	0.061006	0.0	81.762304	PD22NLD0146F_SAMPLE		
PD22NLD0147F	UNPAIRED	3559159.0	3559159.0	1.0	0.0	3559159.0	1.0	833369561.0	3559159.0	833369561.0	820224487.0	2.0	0.012951	0.012951	0.001244	254.781236	33.496365	264.0	18.0	30.0	289.0	234.552722	0.0	0.0	0.0	0.0	0.0	0.499737	0.086449	0.0	0.079396	0.0	84.731203	PD22NLD0147F_SAMPLE		
PDOM2022NLD0041J	UNPAIRED	11656740.0	11656740.0	1.0	0.0	11656740.0	1.0	2485993836.0	11656740.0	2485993836.0	2441770860.0	1.0	0.012171	0.012171	0.00108	225.784614	44.38172	232.0	32.0	30.0	289.0	213.626854	0.0	0.0	0.0	0.0	0.0	0.499906	0.036233	0.0	0.053847	0.0	73.921902	PDOM2022NLD0041J_SAMPLE		
PDOM2022NLD0042M	UNPAIRED	12412418.0	12412418.0	1.0	0.0	12412418.0	1.0	2631706870.0	12412418.0	2631706870.0	2584678659.0	1.0	0.011825	0.011825	0.001062	223.888814	45.547211	230.0	33.0	30.0	289.0	212.369359	0.0	0.0	0.0	0.0	0.0	0.499805	0.035308	0.0	0.051452	0.0	74.997463	PDOM2022NLD0042M_SAMPLE		
PDOM2022NLD0043F	UNPAIRED	10590843.0	10590843.0	1.0	0.0	10590843.0	1.0	2285272448.0	10590843.0	2285272448.0	2232432402.0	2.0	0.012211	0.012211	0.001066	228.42092	43.478234	235.0	31.0	30.0	289.0	216.133983	0.0	0.0	0.0	0.0	0.0	0.499735	0.038704	0.0	0.053791	0.0	76.834671	PDOM2022NLD0043F_SAMPLE		
PDOM2022NLD0044M	UNPAIRED	14610108.0	14610108.0	1.0	0.0	14610108.0	1.0	3131883386.0	14610108.0	3131883386.0	3077860317.0	1.0	0.011726	0.011726	0.001054	226.277216	44.23433	233.0	32.0	30.0	289.0	214.714894	0.0	0.0	0.0	0.0	0.0	0.500088	0.03382	0.0	0.051098	0.0	75.116575	PDOM2022NLD0044M_SAMPLE		
PDOM2022NLD0045M	UNPAIRED	12593395.0	12593395.0	1.0	0.0	12593395.0	1.0	2725366524.0	12593395.0	2725366524.0	2679634822.0	1.0	0.011979	0.011979	0.001088	229.626462	43.875328	237.0	30.0	30.0	289.0	216.777233	0.0	0.0	0.0	0.0	0.0	0.499929	0.03966	0.0	0.055957	0.0	76.470673	PDOM2022NLD0045M_SAMPLE		
PDOM2022NLD0046M	UNPAIRED	15385015.0	15385015.0	1.0	0.0	15385015.0	1.0	3245183252.0	15385015.0	3245183252.0	3175422298.0	1.0	0.012377	0.012377	0.001052	222.626447	44.715988	228.0	33.0	30.0	289.0	211.274995	0.0	0.0	0.0	0.0	0.0	0.499945	0.032922	0.0	0.050989	0.0	73.414532	PDOM2022NLD0046M_SAMPLE		
PDOM2022NLD0047F	UNPAIRED	14300384.0	14300384.0	1.0	0.0	14300384.0	1.0	3038018381.0	14300384.0	3038018381.0	2968624484.0	1.0	0.012306	0.012306	0.001051	224.040778	43.599293	229.0	32.0	30.0	289.0	212.787235	0.0	0.0	0.0	0.0	0.0	0.500113	0.033092	0.0	0.05023	0.0	72.711075	PDOM2022NLD0047F_SAMPLE		
PDOM2022NLD0048F	UNPAIRED	13300387.0	13300387.0	1.0	0.0	13300387.0	1.0	2869145297.0	13300387.0	2869145297.0	2818802729.0	1.0	0.011738	0.011738	0.001036	227.002596	43.306771	233.0	31.0	30.0	289.0	216.059952	0.0	0.0	0.0	0.0	0.0	0.500001	0.030774	0.0	0.048205	0.0	73.249142	PDOM2022NLD0048F_SAMPLE		
PDOM2022NLD0062F	UNPAIRED	12762041.0	12762041.0	1.0	0.0	12762041.0	1.0	2692163974.0	12762041.0	2692163974.0	2632591534.0	1.0	0.01233	0.01233	0.001051	222.345832	44.69447	228.0	33.0	30.0	289.0	211.29278	0.0	0.0	0.0	0.0	0.0	0.500178	0.032751	0.0	0.049711	0.0	72.691852	PDOM2022NLD0062F_SAMPLE		
PDOM2022NLD0072M	UNPAIRED	11857822.0	11857822.0	1.0	0.0	11857822.0	1.0	2536051613.0	11857822.0	2536051613.0	2491762471.0	1.0	0.01188	0.01188	0.001064	226.385366	44.486797	233.0	32.0	30.0	289.0	214.223245	0.0	0.0	0.0	0.0	0.0	0.499862	0.037427	0.0	0.053723	0.0	76.712896	PDOM2022NLD0072M_SAMPLE		
PDOM2022NLD0077M	UNPAIRED	13900639.0	13900639.0	1.0	0.0	13900639.0	1.0	3013562360.0	13900639.0	3013562360.0	2944011944.0	1.0	0.012148	0.012148	0.00105	229.293729	42.279879	235.0	30.0	30.0	289.0	217.141895	0.0	0.0	0.0	0.0	0.0	0.499844	0.038753	0.0	0.052997	0.0	78.542657	PDOM2022NLD0077M_SAMPLE		
PDOM2022NLD0078F	UNPAIRED	13800550.0	13800550.0	1.0	0.0	13800550.0	1.0	2977457793.0	13800550.0	2977457793.0	2883730252.0	2.0	0.013263	0.013263	0.000991	226.317205	41.88064	231.0	31.0	30.0	289.0	216.074905	0.0	0.0	0.0	0.0	0.0	0.500181	0.026957	0.0	0.045256	0.0	71.210534	PDOM2022NLD0078F_SAMPLE		
PDOM2022NLD0080F	UNPAIRED	10922460.0	10922460.0	1.0	0.0	10922460.0	1.0	2372436334.0	10922460.0	2372436334.0	2324409328.0	2.0	0.012742	0.012742	0.001092	231.219641	42.53239	238.0	29.0	30.0	289.0	217.575743	0.0	0.0	0.0	0.0	0.0	0.500426	0.042653	0.0	0.059008	0.0	77.167572	PDOM2022NLD0080F_SAMPLE		
PDOM2022NLD0081F	UNPAIRED	13503652.0	13503652.0	1.0	0.0	13503652.0	1.0	2839722297.0	13503652.0	2839722297.0	2786734422.0	1.0	0.011602	0.011602	0.001034	221.10697	46.619905	228.0	34.0	30.0	289.0	210.629598	0.0	0.0	0.0	0.0	0.0	0.500014	0.030149	0.0	0.047386	0.0	71.903395	PDOM2022NLD0081F_SAMPLE		
PDOM2022NLD0082F	UNPAIRED	13397131.0	13397131.0	1.0	0.0	13397131.0	1.0	2905528796.0	13397131.0	2905528796.0	2845089390.0	2.0	0.012177	0.012177	0.001072	229.434184	42.644427	236.0	30.0	30.0	289.0	217.23781	0.0	0.0	0.0	0.0	0.0	0.500033	0.038182	0.0	0.053158	0.0	77.153454	PDOM2022NLD0082F_SAMPLE		
PDOM2022NLD0083F	UNPAIRED	12897828.0	12897828.0	1.0	0.0	12897828.0	1.0	2706152979.0	12897828.0	2706152979.0	2661793309.0	1.0	0.011596	0.011596	0.001044	220.635544	47.038219	227.0	34.0	30.0	289.0	210.153609	0.0	0.0	0.0	0.0	0.0	0.500211	0.029639	0.0	0.047508	0.0	72.201545	PDOM2022NLD0083F_SAMPLE		
PDOM2022NLD0084F	UNPAIRED	9962345.0	9962345.0	1.0	0.0	9962345.0	1.0	2162334970.0	9962345.0	2162334970.0	2116687747.0	2.0	0.012294	0.012294	0.001085	230.213032	42.114663	237.0	30.0	30.0	289.0	217.415472	0.0	0.0	0.0	0.0	0.0	0.50024	0.040885	0.0	0.05559	0.0	76.345134	PDOM2022NLD0084F_SAMPLE		
