Sample	ACCUMULATION_LEVEL	READS_USED	WINDOW_SIZE	TOTAL_CLUSTERS	ALIGNED_READS	AT_DROPOUT	GC_DROPOUT	GC_NC_0_19	GC_NC_20_39	GC_NC_40_59	GC_NC_60_79	GC_NC_80_100	SAMPLE	LIBRARY	READ_GROUP
Guglionesi_431	All Reads	ALL	100.0	62239640.0	117861226.0	0.6548	0.355984	1.243475	1.017676	0.983683	0.980504	0.730408			
Guglionesi_432	All Reads	ALL	100.0	52191197.0	101468901.0	0.723219	0.129407	1.211057	1.006888	0.989096	1.028844	0.794433			
Guglionesi_433	All Reads	ALL	100.0	59673775.0	113281301.0	0.746094	0.238589	1.246605	1.013507	0.98474	1.008445	0.716882			
Guglionesi_434	All Reads	ALL	100.0	59662136.0	116406159.0	0.43813	0.279851	1.191758	1.012262	0.987406	0.994009	0.871942			
Guglionesi_435	All Reads	ALL	100.0	60114054.0	117131552.0	0.796192	0.698215	1.256498	1.029459	0.973946	0.957583	0.731253			
KAZ14001	All Reads	ALL	100.0	84320890.0	156607203.0	0.799247	0.088194	1.113652	0.984039	1.013005	1.03304	0.840514			
KAZ14003	All Reads	ALL	100.0	45705460.0	84331152.0	6.349495	0.000176	1.131295	0.881406	1.082296	1.346591	1.083147			
KAZ14032	All Reads	ALL	100.0	54633804.0	101906271.0	3.984822	0.028217	1.090571	0.923669	1.06025	1.167427	0.924811			
KAZ14035	All Reads	ALL	100.0	65424009.0	121175397.0	1.969475	0.065405	1.162839	0.961422	1.031826	1.072091	0.866937			
KAZ14053	All Reads	ALL	100.0	55720920.0	104162892.0	0.17915	0.264096	1.149906	1.001231	1.001296	0.980097	0.792252			
KAZ14054	All Reads	ALL	100.0	59601448.0	111079361.0	2.526279	0.055429	1.119754	0.95196	1.041009	1.079617	0.892486			
KAZ14055	All Reads	ALL	100.0	59538368.0	111177025.0	0.372349	0.31272	1.141046	1.012136	0.989502	0.981412	0.826622			
KAZ14057	All Reads	ALL	100.0	52753370.0	98804627.0	2.272435	0.050635	1.153375	0.959881	1.033099	1.073986	0.906554			
KAZ14059	All Reads	ALL	100.0	53349288.0	99510789.0	4.095599	0.012933	1.097241	0.926109	1.055678	1.182005	0.969206			
KAZ14061	All Reads	ALL	100.0	57108297.0	106145355.0	4.434698	0.035781	1.047566	0.91173	1.078369	1.123721	0.928546			
Lesina_280	All Reads	ALL	100.0	69932039.0	136103816.0	0.914004	0.032888	1.179928	0.991728	0.997782	1.085923	0.924035			
Lesina_281	All Reads	ALL	100.0	57730832.0	112044662.0	0.670143	0.091227	1.202837	1.007481	0.987558	1.031897	0.929793			
Lesina_282	All Reads	ALL	100.0	55081571.0	105692459.0	0.580146	0.074729	1.187478	1.00251	0.993658	1.027178	0.88323			
Lesina_285	All Reads	ALL	100.0	50877118.0	98919436.0	1.073261	0.038521	1.203097	0.997348	0.990814	1.094308	0.900275			
Lesina_286	All Reads	ALL	100.0	56935223.0	109878498.0	0.784447	0.084422	1.209097	1.004325	0.990065	1.04164	0.840091			
Lesina_287	All Reads	ALL	100.0	59582723.0	114323244.0	0.705088	0.172162	1.217535	1.009731	0.988398	1.010989	0.754904			
Lesina_288	All Reads	ALL	100.0	53430277.0	103203063.0	1.029818	0.065358	1.215183	0.999338	0.990783	1.078967	0.837988			
Lesina_289	All Reads	ALL	100.0	52852265.0	102119125.0	0.946484	0.073119	1.229639	1.003834	0.98892	1.054081	0.853283			
Lesina_292	All Reads	ALL	100.0	60221555.0	116082827.0	0.846342	0.162094	1.247806	1.012588	0.984684	1.014718	0.777597			
Lesina_295	All Reads	ALL	100.0	53541019.0	104600106.0	1.722514	0.005008	1.168108	0.97329	1.010277	1.141501	0.994693			
PD22NLD0146F	All Reads	ALL	100.0	21173409.0	36313350.0	4.160983	0.007454	1.191409	0.922772	1.049198	1.257991	1.047192			
PD22NLD0147F	All Reads	ALL	100.0	20036447.0	36129256.0	4.779428	9.1e-05	1.166476	0.915057	1.048255	1.331097	1.125738			
PDOM2022NLD0041J	All Reads	ALL	100.0	23479105.0	34760237.0	11.270147	0.065103	1.059936	0.7955	1.099933	1.966136	0.676918			
PDOM2022NLD0042M	All Reads	ALL	100.0	26165019.0	39329232.0	6.79855	0.007299	1.120287	0.876324	1.062433	1.553888	1.108122			
PDOM2022NLD0043F	All Reads	ALL	100.0	24711959.0	38323834.0	9.287706	0.033799	1.056084	0.828298	1.088685	1.765504	0.902253			
PDOM2022NLD0044M	All Reads	ALL	100.0	29765151.0	44272758.0	9.554348	0.037587	1.034858	0.822428	1.091584	1.794511	0.874938			
PDOM2022NLD0045M	All Reads	ALL	100.0	29262462.0	45280364.0	10.534127	0.085278	1.036275	0.804049	1.106722	1.839861	0.588866			
PDOM2022NLD0046M	All Reads	ALL	100.0	30606298.0	45144532.0	8.387024	0.077838	1.063235	0.843786	1.084607	1.673893	0.621415			
PDOM2022NLD0047F	All Reads	ALL	100.0	28214782.0	41586878.0	7.977197	0.034617	1.086606	0.851621	1.079911	1.635631	0.843648			
PDOM2022NLD0048F	All Reads	ALL	100.0	25090724.0	36362815.0	8.493268	0.097764	1.040352	0.837912	1.098739	1.611029	0.57984			
PDOM2022NLD0062F	All Reads	ALL	100.0	24954918.0	36675224.0	8.395687	0.063087	1.055859	0.84247	1.087511	1.659644	0.680547			
PDOM2022NLD0072M	All Reads	ALL	100.0	26701824.0	40924423.0	8.668273	0.067807	1.0469	0.839026	1.085928	1.703096	0.677901			
PDOM2022NLD0077M	All Reads	ALL	100.0	34796480.0	54851954.0	5.720345	0.092295	1.078682	0.891824	1.061545	1.445465	0.610236			
PDOM2022NLD0078F	All Reads	ALL	100.0	22365888.0	30545549.0	9.298248	0.130692	0.967971	0.820043	1.117116	1.62132	0.487888			
PDOM2022NLD0080F	All Reads	ALL	100.0	25975341.0	40263960.0	11.027039	0.019446	1.087992	0.797941	1.104265	1.895162	1.045219			
PDOM2022NLD0081F	All Reads	ALL	100.0	24390557.0	34838588.0	8.73394	0.062746	1.052364	0.835183	1.093905	1.670124	0.692982			
PDOM2022NLD0082F	All Reads	ALL	100.0	30633582.0	47154762.0	9.156784	0.035834	1.048723	0.830071	1.090033	1.739767	0.88793			
PDOM2022NLD0083F	All Reads	ALL	100.0	23294396.0	33213892.0	7.91279	0.065128	1.072364	0.851234	1.08314	1.618443	0.688039			
PDOM2022NLD0084F	All Reads	ALL	100.0	23414703.0	36364649.0	10.950183	0.027378	1.023642	0.797149	1.108626	1.87209	0.947774			
PDOM2022NLD0107J	All Reads	ALL	100.0	29055869.0	44647979.0	11.830515	0.026492	1.049327	0.784406	1.104525	2.013699	1.00617			
PDOM2022NLD0108J	All Reads	ALL	100.0	28427413.0	44516863.0	6.453279	0.148859	1.033692	0.875394	1.076758	1.470097	0.464632			
PI22NLD0001M	All Reads	ALL	100.0	20927452.0	35295052.0	4.39247	2e-05	1.170832	0.920135	1.046941	1.298512	1.098428			
TreeSparrow_01	All Reads	ALL	100.0	53877124.0	101458386.0	2.529211	0.117302	1.056641	0.949217	1.04862	1.046213	0.809385			
TreeSparrow_02	All Reads	ALL	100.0	64477053.0	124790175.0	0.506752	1.314626	1.095513	1.036242	0.975306	0.891652	0.787282			
TreeSparrow_03	All Reads	ALL	100.0	60433918.0	105694324.0	0.340785	0.40646	1.110099	1.013397	0.9896	0.97257	0.777599			
TreeSparrow_04	All Reads	ALL	100.0	57474261.0	106751987.0	0.864114	0.383268	1.10199	0.983345	1.024692	0.946777	0.742517			
TreeSparrow_05	All Reads	ALL	100.0	50163836.0	94339082.0	2.882462	0.054748	1.042909	0.949156	1.042931	1.090692	0.9065			
TreeSparrow_06	All Reads	ALL	100.0	49243850.0	92757534.0	2.462238	0.174933	1.001738	0.949653	1.053439	1.004888	0.809461			
TreeSparrow_07	All Reads	ALL	100.0	61107226.0	113595458.0	2.377972	0.073569	1.076119	0.953635	1.041869	1.060713	0.862645			
TreeSparrow_08	All Reads	ALL	100.0	56751369.0	106023755.0	1.805244	0.107685	1.104725	0.968433	1.026409	1.060048	0.806845			
TreeSparrow_09	All Reads	ALL	100.0	57977292.0	108039070.0	3.262101	0.061446	1.074348	0.939802	1.049481	1.118926	0.850564			
TreeSparrow_10	All Reads	ALL	100.0	59401216.0	110253983.0	0.17144	0.39068	1.182903	1.002061	1.002928	0.96071	0.719575			
