Sample	GATK: GATK VariantEval_mqc-generalstats-gatk_gatk_varianteval-known_titv	GATK: GATK VariantEval_mqc-generalstats-gatk_gatk_varianteval-novel_titv	Picard: QualityYieldMetrics_mqc-generalstats-picard_qualityyieldmetrics-TOTAL_READS	mosdepth_mqc-generalstats-mosdepth-1_x_pc	mosdepth_mqc-generalstats-mosdepth-5_x_pc	mosdepth_mqc-generalstats-mosdepth-10_x_pc	mosdepth_mqc-generalstats-mosdepth-20_x_pc	mosdepth_mqc-generalstats-mosdepth-30_x_pc	mosdepth_mqc-generalstats-mosdepth-50_x_pc	mosdepth_mqc-generalstats-mosdepth-mean_coverage	mosdepth_mqc-generalstats-mosdepth-median_coverage
Guglionesi_428			106920226	92.62700000000001	88.85300000000001	52.671	0.9079999999999999	0.064	0.039	9.65402	10
Guglionesi_429			111915869	92.646	90.089	59.077999999999996	1.308	0.07200000000000001	0.043	10.25146	10
Guglionesi_431			117280823	92.652	90.88199999999999	66.09	2.286	0.077	0.047	10.98408	11
Guglionesi_432			100766182	92.634	88.349	47.528	0.501	0.063	0.04	9.19685	9
Guglionesi_433			112599509	92.644	90.383	61.391	1.528	0.073	0.044000000000000004	10.47455	11
Guglionesi_434			115589890	92.658	90.833	64.943	2.096	0.076	0.044000000000000004	10.84662	11
Guglionesi_435			116186895	92.646	90.363	62.541000000000004	1.928	0.07200000000000001	0.043	10.61711	11
KAZ14001			155535789	92.651	92.22200000000001	86.04899999999999	16.377	0.257	0.056999999999999995	14.66224	15
KAZ14003			83683230	92.537	81.601	29.519000000000002	0.23700000000000002	0.064	0.04	7.76990	8
KAZ14032			101201569	92.609	88.897	50.254	0.6779999999999999	0.06999999999999999	0.042	9.48643	10
KAZ14035			120323817	92.63	91.251	68.538	2.6470000000000002	0.146	0.099	11.34421	11
KAZ14053			103447015	92.606	89.5	54.218999999999994	0.831	0.068	0.039	9.78909	10
KAZ14054			110304146	92.622	90.371	60.272000000000006	1.443	0.079	0.043	10.39528	10
KAZ14055			110402582	92.618	90.401	60.967000000000006	1.413	0.074	0.044000000000000004	10.43702	11
KAZ14057			98125391	92.605	88.292	46.643	0.544	0.117	0.089	9.21935	9
KAZ14059			98808465	92.608	88.44300000000001	47.704	0.577	0.068	0.041	9.27519	9
KAZ14061			105436629	92.613	89.351	54.92	1.196	0.075	0.044000000000000004	9.94673	10
Lesina_280			135021933	92.642	91.865	77.526	5.797	0.11399999999999999	0.053	12.51132	13
Lesina_281			111093450	92.623	90.271	59.544	1.291	0.06999999999999999	0.044000000000000004	10.28216	10
Lesina_282			104859918	92.61	89.802	55.221	0.865	0.08	0.048	9.86354	10
Lesina_285			98079503	92.59100000000001	87.476	43.103	0.362	0.059000000000000004	0.036000000000000004	8.83426	9
Lesina_286			108984093	92.611	89.75800000000001	56.005	0.991	0.074	0.042	9.95247	10
Lesina_287			113670186	92.607	90.431	61.804	1.5779999999999998	0.08	0.043	10.52308	11
Lesina_288			102445044	92.59100000000001	88.55199999999999	48.199999999999996	0.519	0.068	0.039	9.25550	9
Lesina_289			101303899	92.59100000000001	88.137	46.37	0.468	0.066	0.042	9.11223	9
Lesina_292			115174921	92.61200000000001	90.235	60.313	1.448	0.09	0.051000000000000004	10.39553	11
Lesina_295			103730456	92.616	89.536	52.24100000000001	0.63	0.06899999999999999	0.042	9.60496	10
PD22NLD0146F			35791168	91.80199999999999	59.245999999999995	7.981000000000001	0.065	0.042	0.03	5.37297	5
PD22NLD0147F			35580108	91.61399999999999	55.589999999999996	6.388000000000001	0.063	0.043	0.03	5.11411	5
PDOM2022NLD0041J			34167043	91.571	55.557	9.527	0.23800000000000002	0.053	0.033	5.32414	5
PDOM2022NLD0042M			38697696	92.305	67.22	12.587000000000002	0.155	0.089	0.064	6.03885	6
PDOM2022NLD0043F			37749808	91.726	62.365	12.911	0.167	0.048	0.032	5.80730	6
PDOM2022NLD0044M			43581085	92.384	73.161	21.07	0.411	0.065	0.038	6.86269	7
PDOM2022NLD0045M			44517255	92.228	71.595	21.129	0.541	0.074	0.04	6.83878	6
PDOM2022NLD0046M			44462629	92.387	74.629	21.823	0.3	0.06	0.038	6.96689	7
PDOM2022NLD0047F			40964646	92.10300000000001	69.624	17.902	0.19	0.053	0.034	6.45971	6
PDOM2022NLD0048F			35799545	91.611	62.285999999999994	12.446	0.109	0.046	0.03	5.75381	5
PDOM2022NLD0062F			36157200	91.78399999999999	62.205999999999996	11.513	0.11100000000000002	0.047	0.031	5.69991	5
PDOM2022NLD0072M			40279126	92.225	68.081	15.1	0.183	0.053	0.034	6.22337	6
PDOM2022NLD0077M			54073001	92.571	83.614	36.193	0.536	0.068	0.041	8.30590	8
PDOM2022NLD0078F			30113874	90.729	52.952999999999996	8.167	0.08	0.041	0.027	5.03184	5
PDOM2022NLD0080F			39525243	91.717	63.300999999999995	14.828	0.27999999999999997	0.056999999999999995	0.034999999999999996	6.01877	6
PDOM2022NLD0081F			34314202	91.604	59.699000000000005	10.365	0.10200000000000001	0.045	0.03	5.50903	5
PDOM2022NLD0082F			46423129	92.295	75.029	24.848	0.437	0.063	0.038	7.18162	7
PDOM2022NLD0083F			32729305	91.474	56.767999999999994	8.273	0.077	0.043	0.029	5.23784	5
PDOM2022NLD0084F			35758781	91.298	57.476000000000006	11.276	0.187	0.049	0.032	5.48787	5
PDOM2022NLD0107J			43900273	92.253	69.733	19.772000000000002	0.705	0.08499999999999999	0.04	6.70302	6
PDOM2022NLD0108J			43914119	92.34400000000001	74.361	20.399	0.16999999999999998	0.053	0.034999999999999996	6.80818	7
PI22NLD0001M			34777819	92.06299999999999	58.279	6.561	0.065	0.043	0.031	5.26101	5
TreeSparrow_01			100711037	92.31099999999999	88.90299999999999	52.498	0.765	0.067	0.04	9.60758	10
TreeSparrow_02			123802483	92.322	89.647	68.937	4.595	0.093	0.043	11.51241	12
TreeSparrow_03			105176297	92.322	90.29700000000001	63.166999999999994	1.599	0.08	0.044000000000000004	10.59111	11
TreeSparrow_04			106010831	92.30199999999999	88.241	58.738	1.5599999999999998	0.06899999999999999	0.04	10.19016	10
TreeSparrow_05			93648836	92.288	87.362	44.82	0.514	0.066	0.039	8.95780	9
TreeSparrow_06			92093178	92.286	86.969	43.437	0.40499999999999997	0.064	0.039	8.82092	9
TreeSparrow_07			112765909	92.335	90.405	64.029	1.894	0.084	0.045	10.74074	11
TreeSparrow_08			105199190	92.298	88.003	56.716	1.222	0.087	0.049	9.99310	10
TreeSparrow_09			107236447	92.322	89.757	58.506	1.2959999999999998	0.08	0.044000000000000004	10.20126	10
TreeSparrow_10			109442366	92.30699999999999	88.752	61.573	1.854	0.087	0.046	10.50047	11
