Sample_ID_1	Sample_ID_2	Population_1	Population_2	Ind_1	Ind_2	CHRType	K	Value	Triangle
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Autosomes	K = 5	 0.002615	Individual
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Allosome	K = 6	 0.054598	Individual
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Autosomes	K = 2	 0.007424	Individual
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Allosome	K = 3	 0.023155	Individual
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Allosome	K = 2	 0.048286	Individual
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Autosomes	K = 3	 0.004239	Individual
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Autosomes	K = 3	10	Individual
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Allosome	K = 6	 0.023234	Individual
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Autosomes	K = 5	10	Individual
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Allosome	K = 5	 0.023273	Individual
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Autosomes	K = 4	10	Individual
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Autosomes	K = 7	 0.004239	Individual
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Allosome	K = 7	-0.017067	Individual
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Allosome	K = 5	10	Individual
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Autosomes	K = 6	 0.002615	Individual
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Autosomes	K = 7	 0.002615	Individual
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Allosome	K = 3	10	Individual
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Allosome	K = 4	 0.054718	Individual
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Allosome	K = 6	10	Individual
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Autosomes	K = 4	 0.002615	Individual
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Autosomes	K = 2	10	Individual
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Allosome	K = 2	 0.090277	Individual
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Autosomes	K = 6	 0.004239	Individual
KAZ14001	KAZ14032	Chokpak	Chokpak	Chokpak_01	Chokpak_03	Autosomes	K = 3	 0.002615	Individual
KAZ14032	KAZ14032	Chokpak	Chokpak	Chokpak_03	Chokpak_03	Allosome	K = 4	10	Individual
KAZ14003	KAZ14032	Chokpak	Chokpak	Chokpak_02	Chokpak_03	Allosome	K = 7	-0.006673	Individual
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Autosomes	K = 2	 0.006500	Individual
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Autosomes	K = 7	 0.004098	Individual
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Autosomes	K = 4	 0.004449	Individual
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Autosomes	K = 6	 0.004098	Individual
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Allosome	K = 6	 0.070384	Individual
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Allosome	K = 5	 0.086009	Individual
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Allosome	K = 7	-0.004839	Individual
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Allosome	K = 4	10	Individual
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Allosome	K = 4	 0.070345	Individual
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Autosomes	K = 3	 0.004098	Individual
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Autosomes	K = 2	 0.007167	Individual
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Autosomes	K = 7	 0.004449	Individual
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Autosomes	K = 4	10	Individual
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Allosome	K = 7	 0.023813	Individual
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Allosome	K = 2	 0.091323	Individual
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Allosome	K = 3	 0.070360	Individual
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Allosome	K = 6	 0.085953	Individual
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Allosome	K = 2	 0.108217	Individual
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Autosomes	K = 5	 0.004098	Individual
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Autosomes	K = 3	10	Individual
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Allosome	K = 3	 0.086015	Individual
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Autosomes	K = 5	 0.003336	Individual
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Allosome	K = 6	10	Individual
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Allosome	K = 5	 0.062012	Individual
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Autosomes	K = 6	 0.003336	Individual
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Allosome	K = 5	 0.070345	Individual
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Autosomes	K = 7	10	Individual
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Autosomes	K = 2	10	Individual
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Autosomes	K = 6	10	Individual
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Autosomes	K = 4	 0.004098	Individual
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Allosome	K = 5	10	Individual
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Allosome	K = 3	 0.061994	Individual
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Autosomes	K = 3	 0.003336	Individual
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Autosomes	K = 5	 0.004449	Individual
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Allosome	K = 6	 0.061962	Individual
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Allosome	K = 2	10	Individual
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Allosome	K = 3	10	Individual
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Autosomes	K = 3	 0.004449	Individual
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Allosome	K = 7	10	Individual
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Autosomes	K = 7	 0.003336	Individual
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Autosomes	K = 2	 0.007331	Individual
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Allosome	K = 2	 0.136847	Individual
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Allosome	K = 4	 0.086012	Individual
KAZ14035	KAZ14035	Chokpak	Chokpak	Chokpak_04	Chokpak_04	Autosomes	K = 5	10	Individual
KAZ14001	KAZ14035	Chokpak	Chokpak	Chokpak_01	Chokpak_04	Autosomes	K = 4	 0.003336	Individual
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Allosome	K = 7	 0.023342	Individual
KAZ14003	KAZ14035	Chokpak	Chokpak	Chokpak_02	Chokpak_04	Autosomes	K = 6	 0.004449	Individual
KAZ14032	KAZ14035	Chokpak	Chokpak	Chokpak_03	Chokpak_04	Allosome	K = 4	 0.062016	Individual
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Autosomes	K = 6	 0.001820	Individual
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Autosomes	K = 4	 0.007679	Individual
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Allosome	K = 7	 0.009736	Individual
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Autosomes	K = 6	10	Individual
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Autosomes	K = 4	10	Individual
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Autosomes	K = 2	 0.010517	Individual
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Allosome	K = 3	 0.008844	Individual
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Autosomes	K = 5	 0.003064	Individual
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Allosome	K = 2	10	Individual
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Allosome	K = 5	-0.008201	Individual
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Allosome	K = 2	 0.056704	Individual
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Autosomes	K = 5	10	Individual
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Autosomes	K = 7	 0.007679	Individual
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Allosome	K = 7	-0.011838	Individual
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Allosome	K = 2	 0.067804	Individual
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Autosomes	K = 6	 0.007679	Individual
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Autosomes	K = 3	 0.003064	Individual
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Autosomes	K = 3	 0.007679	Individual
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Allosome	K = 3	 0.036197	Individual
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Allosome	K = 4	 0.029224	Individual
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Allosome	K = 4	 0.036254	Individual
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Allosome	K = 3	 0.029362	Individual
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Autosomes	K = 7	 0.003064	Individual
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Allosome	K = 6	10	Individual
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Allosome	K = 7	10	Individual
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Autosomes	K = 3	 0.001820	Individual
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Allosome	K = 5	 0.008848	Individual
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Allosome	K = 3	-0.008131	Individual
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Autosomes	K = 5	 0.001820	Individual
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Allosome	K = 5	 0.029226	Individual
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Autosomes	K = 3	 0.008587	Individual
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Allosome	K = 5	 0.036252	Individual
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Allosome	K = 6	 0.029290	Individual
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Autosomes	K = 5	 0.007679	Individual
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Allosome	K = 2	 0.037915	Individual
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Autosomes	K = 7	 0.001820	Individual
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Autosomes	K = 4	 0.001820	Individual
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Autosomes	K = 7	 0.008587	Individual
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Autosomes	K = 6	 0.008587	Individual
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Allosome	K = 6	 0.036238	Individual
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Autosomes	K = 2	10	Individual
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Autosomes	K = 2	 0.006329	Individual
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Allosome	K = 4	 0.008845	Individual
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Autosomes	K = 3	10	Individual
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Autosomes	K = 4	 0.008587	Individual
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Autosomes	K = 5	 0.008587	Individual
KAZ14032	KAZ14053	Chokpak	Chokpak	Chokpak_03	Chokpak_05	Autosomes	K = 2	 0.005195	Individual
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Allosome	K = 7	-0.013929	Individual
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Autosomes	K = 6	 0.003064	Individual
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Allosome	K = 6	 0.008939	Individual
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Allosome	K = 4	10	Individual
KAZ14001	KAZ14053	Chokpak	Chokpak	Chokpak_01	Chokpak_05	Autosomes	K = 4	 0.003064	Individual
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Autosomes	K = 7	10	Individual
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Allosome	K = 2	 0.037366	Individual
KAZ14035	KAZ14053	Chokpak	Chokpak	Chokpak_04	Chokpak_05	Autosomes	K = 2	 0.011330	Individual
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Allosome	K = 4	-0.008199	Individual
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Allosome	K = 6	-0.008229	Individual
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Allosome	K = 5	10	Individual
KAZ14003	KAZ14053	Chokpak	Chokpak	Chokpak_02	Chokpak_05	Allosome	K = 7	-0.041997	Individual
KAZ14053	KAZ14053	Chokpak	Chokpak	Chokpak_05	Chokpak_05	Allosome	K = 3	10	Individual
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Allosome	K = 7	-0.010025	Individual
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Autosomes	K = 6	 0.006224	Individual
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Autosomes	K = 6	 0.003914	Individual
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Autosomes	K = 3	 0.008006	Individual
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Allosome	K = 2	 0.035630	Individual
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Allosome	K = 4	10	Individual
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Autosomes	K = 4	 0.004944	Individual
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Autosomes	K = 3	 0.003914	Individual
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Autosomes	K = 7	 0.008006	Individual
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Autosomes	K = 6	 0.004944	Individual
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Allosome	K = 2	 0.058298	Individual
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Autosomes	K = 2	 0.007825	Individual
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Allosome	K = 2	 0.059224	Individual
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Allosome	K = 4	 0.004656	Individual
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Allosome	K = 3	 0.022920	Individual
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Allosome	K = 5	 0.018656	Individual
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Allosome	K = 5	 0.004656	Individual
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Autosomes	K = 7	 0.004944	Individual
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Autosomes	K = 5	 0.008006	Individual
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Autosomes	K = 2	10	Individual
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Allosome	K = 4	 0.020837	Individual
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Allosome	K = 5	 0.036256	Individual
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Autosomes	K = 6	10	Individual
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Autosomes	K = 7	10	Individual
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Allosome	K = 7	-0.021876	Individual
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Allosome	K = 7	-0.001972	Individual
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Allosome	K = 3	 0.018642	Individual
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Autosomes	K = 4	 0.006224	Individual
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Allosome	K = 3	 0.020973	Individual
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Autosomes	K = 3	 0.004944	Individual
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Allosome	K = 5	 0.022913	Individual
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Autosomes	K = 4	10	Individual
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Autosomes	K = 5	 0.006224	Individual
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Autosomes	K = 2	 0.009153	Individual
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Autosomes	K = 2	 0.011261	Individual
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Autosomes	K = 6	 0.008006	Individual
KAZ14003	KAZ14054	Chokpak	Chokpak	Chokpak_02	Chokpak_06	Allosome	K = 6	 0.018588	Individual
KAZ14001	KAZ14054	Chokpak	Chokpak	Chokpak_01	Chokpak_06	Allosome	K = 4	 0.022913	Individual
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Allosome	K = 3	10	Individual
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Allosome	K = 7	10	Individual
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Allosome	K = 2	10	Individual
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Autosomes	K = 3	 0.006224	Individual
KAZ14035	KAZ14054	Chokpak	Chokpak	Chokpak_04	Chokpak_06	Allosome	K = 6	 0.020802	Individual
KAZ14032	KAZ14054	Chokpak	Chokpak	Chokpak_03	Chokpak_06	Autosomes	K = 5	 0.003914	Individual
KAZ14054	KAZ14054	Chokpak	Chokpak	Chokpak_06	Chokpak_06	Autosomes	K = 3	10	Individual
KAZ14053	KAZ14054	Chokpak	Chokpak	Chokpak_05	Chokpak_06	Allosome	K = 6	 0.004681	Individual
